label,North_Atlantic,Baltic,West_Med,West_Asian,East_Med,Red_Sea,South_Asian,East_Asian,Siberian,Amerindian,Oceanian,Northeast_African,Sub-Saharan
Ethiopian_Tigray,0.09,0.01,2.17,0.02,22.70,26.62,0.00,0.00,0.01,0.00,0.26,45.95,2.16
Greek_Thessaly,19.12,16.32,20.63,11.87,25.40,3.83,1.35,0.09,0.20,0.70,0.32,0.13,0.03
Central_Greek,16.86,10.36,21.47,15.44,29.25,05.03,0.29,0.24,0.14,0.32,0.56,0.03,0.01
Portuguese,38.54,11.51,25.32,2.43,13.90,3.63,0.42,0.14,0.25,0.44,0.67,1.72,01.04
Serbian,27.10,27.32,15.84,9.37,15.63,2.50,0.33,0.57,0.75,0.03,0.38,0.11,0.06
South_Dutch,44.59,22.22,15.74,06.01,7.37,1.47,01.05,0.20,0.84,0.24,0.02,0.09,0.16
Spanish_Andalucia,39.07,8.19,29.07,3.83,14.11,1.95,0.60,0.29,0.63,0.02,0.40,1.28,0.57
Spanish_Aragon,43.83,8.27,29.79,1.32,12.05,2.37,0.40,0.25,0.50,0.32,0.39,0.46,0.04
Spanish_Cataluna,41.36,12.13,25.78,03.08,13.09,1.51,0.69,0.59,0.06,0.06,0.43,0.45,0.77
Spanish_Extremadura,38.27,9.67,26.84,3.32,13.73,4.26,0.65,0.00,0.00,0.62,0.20,1.23,1.22
Spanish_Galicia,38.51,12.18,26.23,1.97,11.93,4.55,1.49,0.36,0.22,0.14,0.00,1.26,1.16
Bulgarian,21.75,24.06,17.91,11.91,20.12,1.95,0.11,0.52,0.43,0.57,0.41,0.11,0.16
Tuscan,27.18,10.01,23.79,8.83,24.59,4.29,0.24,0.01,0.29,0.00,0.50,0.17,0.09
Ukrainian,27.77,43.57,12.05,6.12,5.68,0.16,01.09,0.91,1.41,0.78,0.28,0.11,0.07
Ukrainian_Belgorod,25.78,47.29,7.85,8.78,5.54,0.58,1.10,0.71,01.02,0.59,0.25,0.16,0.34
Ukrainian_Lviv,27.35,41.85,11.96,7.10,5.29,1.79,1.20,0.39,1.36,0.82,0.75,0.00,0.13
Southwest_Russian,25.91,47.21,8.25,6.80,6.26,0.55,1.00,0.22,2.14,0.81,0.43,0.19,0.23
Southwest_French,42.35,13.57,30.54,1.36,8.85,1.65,0.33,0.05,0.62,0.64,0.01,0.02,0.00												
