Population,Pygmy,West-Asian,North-European-Mesolithic,Indo-Tibetan,Mesoamerican,Arctic-Amerind,South-America_Amerind,Indian,North-Siberean,Atlantic_Mediterranean_Neolithic,Samoedic,Indo-Iranian,East-Siberean,North-East-European,South-African,North-Amerind,Sub-Saharian,East-South-Asian,Near_East,Melanesian,Paleo-Siberian,Austronesian
Sardinian,0.00,0.80,0.00,0.10,0.00,0.00,0.00,0.00,0.00,68.24,0.00,0.00,0.00,13.63,0.10,0.00,0.00,0.00,17.13,0.00,0.00,0.00
Saudi,0.60,22.00,0.30,0.10,0.00,0.10,0.00,0.80,0.00,7.70,0.10,1.00,0.10,0.70,0.40,0.00,6.10,0.20,59.50,0.20,0.00,0.10
Selkup,0.00,0.50,1.80,0.40,0.70,0.20,0.00,0.30,18.98,1.70,56.14,0.30,10.29,6.69,0.00,0.50,0.00,0.30,0.20,0.20,0.60,0.20
Sephardim,0.30,22.98,0.10,0.40,0.00,0.00,0.10,0.10,0.20,38.26,0.10,0.50,0.00,6.89,0.30,0.20,1.00,0.00,28.27,0.10,0.10,0.10
Serbian,0.00,11.70,0.50,0.20,0.20,0.00,0.20,0.30,0.30,32.60,0.20,0.90,0.10,44.50,0.00,0.20,0.00,0.00,7.50,0.10,0.30,0.20
Serrano,0.00,5.49,4.39,0.40,31.74,0.00,3.49,0.00,0.00,17.17,0.00,0.00,0.00,8.88,0.80,17.17,3.89,0.50,5.49,0.00,0.00,0.60
She,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.10,0.00,0.00,0.00,0.00,92.90,0.00,0.00,0.00,0.00
Shor,0.00,07.09,2.10,0.30,0.80,1.20,0.10,1.30,5.89,0.80,21.96,3.29,28.94,12.08,0.10,3.79,0.00,10.08,0.00,0.10,0.00,0.10
Sicilian,0.20,21.28,0.20,0.30,0.10,0.20,0.20,0.00,0.10,39.76,0.00,0.60,0.10,14.79,0.30,0.10,0.80,0.00,20.58,0.10,0.00,0.30
Sindhi,0.20,40.74,2.69,0.10,0.30,0.30,0.50,35.16,0.20,0.10,1.00,7.37,0.20,2.89,0.10,0.40,5.78,0.10,1.39,0.20,0.20,0.10
Slovakian,0.00,5.71,1.80,0.20,0.10,0.10,0.20,0.40,0.00,26.13,1.40,1.30,0.00,58.96,0.00,0.20,0.00,0.00,3.20,0.10,0.00,0.20
Slovenian,0.00,7.29,1.60,0.20,0.10,0.50,0.20,0.50,0.40,29.64,0.10,1.20,0.20,53.89,0.10,0.10,0.00,0.00,3.49,0.20,0.30,0.00
Sorb,0.20,3.69,1.69,0.20,0.20,0.20,0.20,0.60,0.40,21.34,0.20,1.79,0.20,65.70,0.10,0.00,0.30,0.20,2.49,0.10,0.10,0.10
Spaniard,0.20,3.90,1.80,0.20,0.30,0.20,0.10,0.30,0.20,49.60,0.20,1.20,0.10,32.10,0.30,0.00,0.30,0.10,8.40,0.20,0.10,0.20
Ste7,7.88,2.89,0.90,2.20,4.29,5.59,7.49,0.80,4.79,0.90,2.10,2.00,16.17,12.48,11.28,1.90,2.40,2.10,7.49,1.80,2.10,0.50
Surui,0.00,0.00,0.00,0.00,1.80,0.00,98.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Swedish,0.10,3.00,7.79,0.30,0.10,0.10,0.00,0.10,0.00,31.77,0.30,1.60,0.00,53.65,0.10,0.30,0.20,0.00,0.10,0.10,0.00,0.40
Swedish_V,0.00,1.20,10.09,0.30,0.20,0.00,0.30,0.50,0.00,29.77,0.40,2.90,0.00,54.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Swiss,0.20,09.09,2.70,0.40,0.10,0.00,0.20,0.10,0.00,40.56,0.40,0.70,0.10,36.16,0.30,0.40,1.20,0.00,6.79,0.20,0.20,0.20
Syrian,0.40,35.66,0.30,0.40,0.10,0.20,0.10,1.60,0.10,20.78,0.00,1.20,0.10,2.20,0.30,0.20,3.90,0.10,31.47,0.40,0.30,0.20
Tabassaran,0.10,53.75,3.40,0.30,1.30,0.40,0.20,0.50,0.00,11.79,2.10,3.80,0.00,19.38,0.00,0.30,0.00,0.00,2.00,0.20,0.30,0.20
Tadjik,0.00,39.82,3.69,0.60,0.70,0.30,0.30,11.18,0.20,5.69,5.69,7.68,2.00,16.77,0.00,1.20,0.00,1.80,1.40,0.30,0.50,0.20
Tartar_Mishar,0.00,9.80,6.00,0.00,0.00,0.30,0.00,0.00,1.40,11.40,8.20,0.60,8.60,50.50,0.00,0.00,0.00,0.70,0.80,0.60,0.00,1.10
Tatar,0.00,9.90,4.50,0.80,0.40,0.50,0.20,0.90,2.80,12.00,11.90,1.60,6.80,42.20,0.00,0.60,0.00,2.60,1.40,0.10,0.50,0.30
Tatar_Crim,0.00,28.80,0.30,0.40,0.20,0.50,0.30,0.50,0.80,23.90,1.80,0.90,5.00,21.20,0.00,0.20,0.00,3.70,10.40,0.40,0.60,0.10
Tatar_Kryashen,0.00,6.58,4.19,0.70,0.20,0.10,0.20,0.80,1.20,13.76,8.87,1.10,5.58,49.35,0.00,0.70,0.00,1.60,3.79,0.00,1.10,0.20
Tatar_Lithuania,0.20,11.29,1.30,1.10,0.00,0.30,0.60,1.60,1.90,11.69,4.00,1.00,12.79,38.26,0.00,0.00,0.00,9.89,2.90,0.30,0.80,0.10
Tlingit,0.00,0.10,1.40,0.00,10.79,3.30,1.00,0.10,0.00,5.59,0.20,1.70,0.10,8.29,0.00,66.23,0.00,0.50,0.10,0.00,0.40,0.20
Tsimsian,0.00,4.29,3.69,1.10,9.68,2.00,0.10,0.00,0.90,21.06,0.00,0.40,0.20,22.06,0.00,34.23,0.00,0.00,0.00,0.00,0.00,0.30
Tu,0.00,1.70,0.70,2.60,0.20,0.10,0.40,0.10,0.10,0.60,1.60,0.90,25.90,0.20,0.00,0.10,0.00,64.40,0.30,0.00,0.00,0.10
Tujia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,0.00,0.00,0.00,86.50,0.00,0.00,0.00,0.00
Turk,0.10,40.92,0.90,0.60,0.20,0.20,0.20,1.60,1.20,22.46,0.50,1.50,2.30,7.68,0.10,0.30,0.10,1.20,16.97,0.30,0.50,0.20
Turkmen,0.10,34.33,1.60,0.60,0.40,0.60,0.20,6.89,2.00,9.18,4.49,3.39,10.88,9.18,0.10,0.50,0.00,6.49,8.38,0.30,0.20,0.20
Tuva,0.00,2.40,0.80,0.10,0.30,0.50,0.10,0.40,15.38,0.50,11.19,1.20,42.66,2.30,0.00,0.80,0.00,19.98,0.30,0.10,0.70,0.30
Udmurd,0.00,8.69,8.49,0.20,1.00,0.30,0.40,1.10,3.70,4.90,29.57,2.40,1.80,36.16,0.00,0.40,0.00,0.00,0.00,0.20,0.70,0.00
Ukrainian,0.00,5.58,0.70,0.60,0.10,0.30,0.30,0.10,0.60,18.05,1.00,0.50,0.30,67.80,0.00,0.30,0.00,0.40,2.89,0.20,0.30,0.00
Ukrainian-Center,0.00,7.69,2.30,0.30,0.50,0.00,0.00,0.50,0.10,19.68,0.90,0.40,0.20,64.14,0.20,0.00,0.00,0.10,2.50,0.10,0.30,0.10
Ukrainian-East,0.00,6.62,1.71,0.60,0.30,0.20,0.20,0.00,0.10,17.85,0.90,0.70,0.30,67.30,0.00,0.00,0.00,0.40,2.31,0.20,0.20,0.10
Ukrainian_V,0.00,7.39,1.90,0.30,0.10,0.40,0.10,0.40,0.50,19.58,1.00,0.70,0.60,62.84,0.10,0.20,0.00,0.10,3.20,0.00,0.30,0.30
Ukrainian-West,0.00,6.90,1.50,0.40,0.20,0.20,0.20,0.20,0.10,21.10,1.70,0.90,0.10,62.10,0.00,0.10,0.00,0.00,3.80,0.20,0.10,0.20
Uygur,0.00,19.68,1.40,1.00,0.30,0.50,0.20,5.49,1.80,4.00,5.39,2.80,19.98,9.29,0.00,1.50,0.00,23.88,2.00,0.30,0.40,0.10
Uzbek,0.00,25.22,1.89,1.00,0.40,0.40,0.50,7.18,03.09,6.98,4.49,3.39,17.45,10.97,0.10,0.30,0.00,12.36,3.59,0.20,0.50,0.00
Vepsa,0.00,0.40,24.05,0.10,0.00,0.80,0.10,0.50,2.00,6.59,1.40,0.00,0.20,62.38,0.00,0.00,0.00,0.10,0.50,0.10,0.60,0.20
Welsh,0.00,4.00,4.90,0.20,0.00,0.10,0.10,0.10,0.10,36.74,0.20,3.40,0.00,49.35,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20
Xibo,0.00,0.90,0.30,0.30,0.20,0.30,0.00,0.00,2.50,0.40,1.30,0.20,34.67,2.30,0.00,0.10,0.00,55.64,0.10,0.10,0.60,0.10
Yakut,0.00,0.80,1.20,0.00,0.20,0.30,0.20,0.30,22.40,0.60,0.90,1.40,64.30,1.30,0.00,0.40,0.00,5.20,0.20,0.20,0.00,0.10
Yemen,1.00,23.48,0.70,0.30,0.20,0.70,0.10,2.30,0.00,9.99,0.00,0.60,0.00,0.00,0.20,0.00,19.58,0.60,39.66,0.10,0.10,0.40
Yizu,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,0.00,0.00,0.00,78.30,0.00,0.00,0.00,0.20
Yoruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
Yukagir,0.00,0.20,0.60,0.10,0.30,0.90,0.10,0.20,24.38,2.80,0.70,0.50,30.27,26.27,0.00,0.50,0.00,0.50,2.40,0.00,09.09,0.20
