Population,Pygmy,West-Asian,North-European-Mesolithic,Indo-Tibetan,Mesoamerican,Arctic-Amerind,South-America_Amerind,Indian,North-Siberean,Atlantic_Mediterranean_Neolithic,Samoedic,Indo-Iranian,East-Siberean,North-East-European,South-African,North-Amerind,Sub-Saharian,East-South-Asian,Near_East,Melanesian,Paleo-Siberian,Austronesian
Serbian,0.00,11.70,0.50,0.20,0.20,0.00,0.20,0.30,0.30,32.60,0.20,0.90,0.10,44.50,0.00,0.20,0.00,0.00,7.50,0.10,0.30,0.20
Sicilian,0.20,21.28,0.20,0.30,0.10,0.20,0.20,0.00,0.10,39.76,0.00,0.60,0.10,14.79,0.30,0.10,0.80,0.00,20.58,0.10,0.00,0.30
Slovakian,0.00,5.71,1.80,0.20,0.10,0.10,0.20,0.40,0.00,26.13,1.40,1.30,0.00,58.96,0.00,0.20,0.00,0.00,3.20,0.10,0.00,0.20
Slovenian,0.00,7.29,1.60,0.20,0.10,0.50,0.20,0.50,0.40,29.64,0.10,1.20,0.20,53.89,0.10,0.10,0.00,0.00,3.49,0.20,0.30,0.00
Spaniard,0.20,3.90,1.80,0.20,0.30,0.20,0.10,0.30,0.20,49.60,0.20,1.20,0.10,32.10,0.30,0.00,0.30,0.10,8.40,0.20,0.10,0.20
Swedish,0.10,3.00,7.79,0.30,0.10,0.10,0.00,0.10,0.00,31.77,0.30,1.60,0.00,53.65,0.10,0.30,0.20,0.00,0.10,0.10,0.00,0.40
Swiss,0.20,09.09,2.70,0.40,0.10,0.00,0.20,0.10,0.00,40.56,0.40,0.70,0.10,36.16,0.30,0.40,1.20,0.00,6.79,0.20,0.20,0.20
Syrian,0.40,35.66,0.30,0.40,0.10,0.20,0.10,1.60,0.10,20.78,0.00,1.20,0.10,2.20,0.30,0.20,3.90,0.10,31.47,0.40,0.30,0.20
Tadjik,0.00,39.82,3.69,0.60,0.70,0.30,0.30,11.18,0.20,5.69,5.69,7.68,2.00,16.77,0.00,1.20,0.00,1.80,1.40,0.30,0.50,0.20
Tartar_Mishar,0.00,9.80,6.00,0.00,0.00,0.30,0.00,0.00,1.40,11.40,8.20,0.60,8.60,50.50,0.00,0.00,0.00,0.70,0.80,0.60,0.00,1.10
Tatar_Crim,0.00,28.80,0.30,0.40,0.20,0.50,0.30,0.50,0.80,23.90,1.80,0.90,5.00,21.20,0.00,0.20,0.00,3.70,10.40,0.40,0.60,0.10
Tatar_Kryashen,0.00,6.58,4.19,0.70,0.20,0.10,0.20,0.80,1.20,13.76,8.87,1.10,5.58,49.35,0.00,0.70,0.00,1.60,3.79,0.00,1.10,0.20
Tatar_Lithuania,0.20,11.29,1.30,1.10,0.00,0.30,0.60,1.60,1.90,11.69,4.00,1.00,12.79,38.26,0.00,0.00,0.00,9.89,2.90,0.30,0.80,0.10
Turk,0.10,40.92,0.90,0.60,0.20,0.20,0.20,1.60,1.20,22.46,0.50,1.50,2.30,7.68,0.10,0.30,0.10,1.20,16.97,0.30,0.50,0.20
Turkmen,0.10,34.33,1.60,0.60,0.40,0.60,0.20,6.89,2.00,9.18,4.49,3.39,10.88,9.18,0.10,0.50,0.00,6.49,8.38,0.30,0.20,0.20
Ukrainian,0.00,5.58,0.70,0.60,0.10,0.30,0.30,0.10,0.60,18.05,1.00,0.50,0.30,67.80,0.00,0.30,0.00,0.40,2.89,0.20,0.30,0.00
Ukrainian-Center,0.00,7.69,2.30,0.30,0.50,0.00,0.00,0.50,0.10,19.68,0.90,0.40,0.20,64.14,0.20,0.00,0.00,0.10,2.50,0.10,0.30,0.10
Ukrainian-East,0.00,6.62,1.71,0.60,0.30,0.20,0.20,0.00,0.10,17.85,0.90,0.70,0.30,67.30,0.00,0.00,0.00,0.40,2.31,0.20,0.20,0.10
Ukrainian-West,0.00,6.90,1.50,0.40,0.20,0.20,0.20,0.20,0.10,21.10,1.70,0.90,0.10,62.10,0.00,0.10,0.00,0.00,3.80,0.20,0.10,0.20
Uzbek,0.00,25.22,1.89,1.00,0.40,0.40,0.50,7.18,03.09,6.98,4.49,3.39,17.45,10.97,0.10,0.30,0.00,12.36,3.59,0.20,0.50,0.00
Welsh,0.00,4.00,4.90,0.20,0.00,0.10,0.10,0.10,0.10,36.74,0.20,3.40,0.00,49.35,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20
Yemen,1.00,23.48,0.70,0.30,0.20,0.70,0.10,2.30,0.00,9.99,0.00,0.60,0.00,0.00,0.20,0.00,19.58,0.60,39.66,0.10,0.10,0.40
